"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
DF-186,Contract,"MINISTRY OF DEFENCE",Open,2024-09-09T12:39:54+01:00,"MOD Data Framework","This Procurement will establish a framework of multiple suppliers for the purchasing of supplier data.

The authority requires the purchase of data, in support of its Supply Chain Management, Development and Resilience activities. 
tender_461433/1397712,Pipeline,"Leidos Supply",Open,2024-08-23T16:09:57+01:00,"The Supply of Buttons, Badges & Medal Ribbons","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The Defence Clothing Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Buttons, Badges & Medal Ribbons on behalf of the UK MOD, consisting of 4 Lot(s), which includes, but is not limited to;  Embroidered Badges, Woven Badges & Medal Ribbons, Metal Badges and Buttons.


The framework length should not exceed 4 years, and is anticipated to commence in 2026. 

The value of this framework is estimated to be between £3,400,000 - £8,600,000.

If interested, Suppliers must/may respond to this PIN [with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",,,"Any region","18451000 18451100 39561110 39561132 39561133 ",,roger.fernandes@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its supply and delivery of Buttons, Badges & Medal Ribbons.",23/02/2026,22/02/2029,01/01/1,NO,,Yes,No,No,,4300000,8600000,,,,,,," ",
tender_421089/1370304,Contract,"Leidos Supply",Open,2024-08-22T09:44:40+01:00,"The Supply of Boot Gaiters - Half","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos'). This requirement is subject to the Public Procurement Regulations and respective advertising action. 

The Defence Clothing Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the Supply of Boot Gaiters - Half on behalf of the UK MOD, consisting of 1 Lot; Boot Gaiters - Half

The total estimated value for this contract will be between £2,500,000 - £6,000,000, with a total contract length of 4 Years.

If this is of further interest, please register on our eProcurement system, Jaggaer:
https://leidos-supply.app.jaggaer.com

Bidders will be able to register on the system, and once registered they can express their interest and complete their bid on there. Should Bidders have any queries regarding the system, please contact the support team on the front page of the Jaggaer website, where it says 'Need assistance?', for help. Any queries regarding the tender itself, as opposed to the system, should be directed through Jaggaer&apos;s messaging centre.",,,"Any region","18221000 ","Miss Rhiannon Greenslade",rhiannon.greenslade@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com/esop/guest/go/opportunity/detail?opportunityId=58636,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it is inviting tenders for its supply and delivery of Boot Gaiters - Half. Leidos Supply Ltd is a wholly owned subsidiary of Leidos Europe Ltd, is undertaking this procurement as a subcontractor to Leidos Europe Ltd to meet a requirement of the UK Ministry of Defence pursuant to the logistics commodities and services transformation delivery partner contract (LCS(T)/0001 dated16.4.2015) between Leidos Europe Ltd and the UK Ministry of Defence. 

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd.",16/09/2025,17/09/2029,14/11/2024,YES,tender_421089/1324215,Yes,No,No,Products,2500000,6000000,,,,,,,"OpenOJEU ",,12:00
tender_456979/1395688,Pipeline,"Leidos Supply",Open,2024-08-16T11:36:19+01:00,"The Supply of Navy Base, Thermal Outer Layer & Beanie Hat","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The Defence Clothing Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of of Navy Base, Thermal Outer Layer & Beanie Hat on behalf of the UK MOD, consisting of 2-3 lot(s), which will cover (but will not be limited to) A base layer ensemble consisting of a long & short sleeve garment and drawers, Thermal outer layer Jacket, MVP & FR Outer Layer Jacket & Trouser and a beanie style hat with logo.

The framework length should not exceed 4 years and is anticipated to commence 2025.

The value of this framework is estimated to be between £14,100,000 - £35,000,000.

If interested, Suppliers may respond to this PIN [with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",,,"Any region","18000000 18130000 18200000 18220000 18221000 18230000 18300000 18310000 18330000 18440000 ",,rhiannon.greenslade@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its supply and delivery of Navy Base, Thermal Outer Layer & Beanie Hat.",27/11/2025,26/11/2029,01/01/1,NO,,Yes,No,No,,14100000,35000000,,,,,,," ",
tender_380538/1368855,Contract,"Leidos Supply",Open,2024-07-18T16:03:02+01:00,"The Supply of Military, Civilian and Anti-Static Safety Footwear","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos'). This requirement is subject to the Public Procurement Regulations and respective advertising action. 

The Defence Clothing Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Military, Civilian and Anti-Static Safety Footwear on behalf of the UK MOD, consisting of 3 Lot(s):

Lot 1: Military Safety Footwear 
Lot 2: Civilian Safety Footwear 
Lot 3: Anti-Static Safety Footwear

The total estimated value for this contract will be between £4,340,000 - £10,860,000 with a total contract length of 4 Years.

If this is of further interest, please register on our eProcurement system, Jaggaer:
https://leidos-supply.app.jaggaer.com

Bidders will be able to register on the system, and once registered they can express their interest and complete their bid on there. Should Bidders have any queries regarding the system, please contact the support team on the front page of the Jaggaer website, where it says 'Need assistance?', for help. Any queries regarding the tender itself, as opposed to the system, should be directed through Jaggaer&apos;s messaging centre.",,,"Any region","18830000 ",,Chloe.Smith@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com/esop/guest/go/opportunity/detail?opportunityId=58457,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it is inviting tenders for its supply and delivery of Military, Civilian and Anti-Static Safety Footwear. Leidos Supply Ltd is a wholly owned subsidiary of Leidos Europe Ltd, is undertaking this procurement as a subcontractor to Leidos Europe Ltd to meet a requirement of the UK Ministry of Defence pursuant to the logistics commodities and services transformation delivery partner contract (LCS(T)/0001 dated16.4.2015) between Leidos Europe Ltd and the UK Ministry of Defence.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd.",01/03/2026,28/02/2030,21/11/2024,YES,tender_380538/1239189,Yes,No,No,Products,4340000,10860000,,,,,,,"OpenOJEU ",,12:00
tender_445423/1373833,Pipeline,"Leidos Supply",Open,2024-07-10T15:11:17+01:00,"The Supply of Fitness Trainers","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The Defence Clothing Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Fitness Trainers on behalf of the UK MOD.

The framework length should not exceed 4 years, and is anticipated to commence in 2026. 

The value of this framework is estimated to be between £3,456,000 - £8,640,000.

If interested, Suppliers must/may respond to this PIN [with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",,,"Any region","18000000 18800000 18810000 18811000 18812000 18814000 18820000 18822000 ",,roger.fernandes@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its supply and delivery of Fitness Trainers.",29/06/2026,01/07/2030,01/01/1,NO,,Yes,No,No,,3456000,8640000,,,,,,," ",
tender_436109/1351676,Pipeline,"Leidos Supply",Open,2024-05-03T16:29:39+01:00,"The supply of Socks Various","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The Defence Clothing Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Socks Various on behalf of the UK MOD.

The framework length should not exceed four years, and is anticipated to commence in 2026. 

The value of this framework is estimated to be between £3,400,000 - £8,600,000..

If interested, Suppliers must/may respond to this PIN [with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",,,"Any region","18317000 ","Tim Light",tim.light@uk.leidos.com,"Monarch Court",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its supply and delivery of Socks Various.",11/04/2026,11/04/2030,01/01/1,NO,,Yes,No,No,,4300000,,,,,,,," ",
tender_464185/1406191,PreProcurement,"Ministry of Defence",Open,2024-09-19T15:12:34+01:00,"712554450 - Provision of RAF Falcons Aircraft and Pilot Services","MOD Prior Information Notice - PROVISION OF UK BASED LIGHT AIRCRAFT FOR THE DELIVERY OF RAF FALCONS PARACHUTING ACTIVITY

Please note this is not a call for competition, this is a Prior Information Notice (PIN) the PROVISION OF UK BASED LIGHT AIRCRAFT FOR THE DELIVERY OF RAF FALCONS PARACHUTING ACTIVITY

The proposed contract commencing 1 March 2025 to 31 October 2026  (the training/seasons are 1 Mar-31 Oct 25 and then 1 Mar-31 Oct 26) would be to provide :

i.	A light aircraft (ac), 1 x full time pilot and associated support enablers to deliver up to 130 flying hours per year with a minimum guaranteed requirement of 30 hours per season to enable RAF Falcons Parachute Activity (FPA), in order to meet the training demand for and delivery of, the 2025 and 2026 Parachute Display Seasons.

ii.	A Light ac capable of meeting extant Release-to-Service (RTS) requirements for the despatch of military Freefall (FF) manually deployed parachutes, detailed in the Compendium of Airborne Equipment Release Certificates (CAERC) and confirmed by Trials & Evaluation (T&E) undertaken by the Joint Aerial Delivery Test and Evaluation Unit Parachute Test Team (JADTEU PTT).

iii.	As required by the Authority, up to 60 Fire and Crash Cover (FCC) hours (30 per season), and up to 14 hours per day of requirement, for the 2025/26 seasons hours to compensate for the absence of embedded FCC fit-to-meet demand. Provision of tender and support vehicles, associated crash equipment and extinguishing consumables and provision of a suitably qualified and experienced FCC crews. The Contractor will be required to plan and coordinate FCC accordingly. The Contractor will be responsible for determining the suitability of all operating a/f  and that such facilities allow the appropriate level of crash cover iaw ICAO  / DSA02 and DSA03  for light ac.

To establish supplier interest for this potential requirement please contact Tammy.Evans183@mod.gov.uk to register your interest.
   
You must not take this Prior Information Notice to mean confirmation that the Authority shall award a contract for this requirement. The Authority is publishing this announcement without any commitment to issue a tender or place a contract. Accordingly, any expenditure, work or effort undertaken before contract award is a matter solely for the commercial judgement of potential suppliers.",,,"Any region","60424100 ",,Tammy.Evans183@mod.gov.uk,"RAF High Wycombe, Naphill,",,"High Wycombe","HP14 4UE",England,,,,,,01/01/1,01/01/1,04/10/2024,NO,,Yes,No,No,,,,,,,,,," ",
tender_367042/1209212,Contract,"Ministry of Defence",Open,2024-09-10T13:50:10+01:00,707783450-Night_Vision_Devices_Contract_Notice,"Once on the FA, suppliers will be requested to provide the Technical information relating to their product(s). Once the product(s) are qualified onto the FA &apos;Catalogue&apos;, mini competitions shall be undertaken using a pre-determined evaluation process.

Successful suppliers will be paid a £1 consideration to be on the FA.

The total anticipated spend across the 7 years is £120M (EX VAT).

The purpose of this framework is to enable the Authority to flexibly procure the Night Vision Device (NVD) capability for Front Line Commands (FLCs) over the next 7 years dependent on user requirements and funding.

It is the Authority&apos;s intent for support to be provided via the Surveillance Target Acquisition Support (STAS) Contract. Potential Providers must be willing to place a sub-contract agreement with the Supplier providing support under the STAS Contract.

The Authority intends to hold a Contract Bidders Conference (CBC) to DPQQ down-selected suppliers. This shall include a discussion around Social Value (SV). Potential Providers shall discuss and agree Method Statements, KPIs and timed action plans. The Authority has final agreement of Social Value, and the SV shall be incorporated into the Invitation to Tender (ITT) and issued to Potential Providers.

The Cyber Risk Level associated with this requirement has been assessed as Very Low (RAR-543383377). Supplier Assurance Questionnaire (SAQ) shall be requested at Invitation to Tender (ITT) stage.

DPQQ - https://contracts.mod.uk/go/990524460191DBADE423

FTS Notice - https://contracts.mod.uk/go/298430170191DBAF4A55",,"BS34 8JH","Any region","38633000 ","DCC Commercial Team",DESLESTSP-DCC-ComrclTeam@mod.gov.uk,"MoD Abbey Wood",,Bristol,"BS34 8JH",England,,https://des.mod.uk/,,"https://contracts.mod.uk/go/990524460191DBADE423 https://contracts.mod.uk/go/298430170191DBAF4A55 https://contracts.mod.uk/go/651273650191DBBF4688 ",,01/04/2025,31/03/2031,14/10/2024,NO,,Yes,No,No,Products,1,120000000,,,,,,,"RestrictedOJEU ",,23:59
tender_399335/1303281,Contract,"Ministry of Defence",Open,2024-06-06T11:33:44+01:00,"VOLUNTARY TRANSPARENCY NOTICE: MODE 5 IDENTIFICATION FRIEND OR FOE (IFF) INTERIM IN SERVICE SUPPORT (ISS)","VOLUNTARY TRANSPARENCY NOTICE (VTN) TO PLACE A SINGLE SOURCE CONTRACT FOR MODE 5 IDENTIFICATION FRIEND OR FOE (IFF) INTERIM IN SERVICE SUPPORT (ISS).


Air Platform Systems Delivery Team (APS DT), part of the Ministry of Defence (""the Authority""), intends to place a 2-year (with an additional 1-year option) interim in service support contract with Leonardo Electronics UK Ltd (LEUK) for the through-life support of LEUK supplied Identification Friend or Foe (IFF) hardware, software, ancillaries and training systems. This includes maintenance, technical engineering, software support, training, and associated software updates. LEUK are responsible for the delivery, embodiment and platform integration of this capability across multiple domains and platforms to provide critical operational capability to Defence. The Authority has determined this single source contract is excluded from Defence and Security Public Contracts Regulations 2011 under Regulation7(1)(a) in conjunction with Regulation 6(3A) (a). In addition, a ""Warlike Stores"" exemption under regulation 6(3A) (b) applies.",,,"Any region","32000000 50000000 ",,bryn.williams176@mod.gov.uk,"Walnut 3b, NH1, MOD Abbey Wood (South)",,Bristol,"BS34 8JH",England,,,,,,01/10/2025,30/09/2027,30/09/2025,NO,,No,No,No,Services,10000000,16000000,,,,,,,"SingleTenderActionNonOJEU ",,12:00
MT232809,Contract,"Potter Raper Ltd",Open,2024-09-27T17:45:10+01:00,"11338 BR - Foreshore 0&1","Main Contractor for the design and construction of flood defence, civils, landscaping, and drainage works at Foreshore areas 0 & 1 at Barking Riverside.The scheme primarily comprises the raising and formation of the flood defence to the development to suit TE2100 levels, landscaping between the flood defence and proposed development plots, installation of services within the landscape area, including drainage attenuation tanks and ponds and repurposing existing outfalls to the Thames, and creation of intertidal habitats.",,,London,"45246000 ","Simon Foulkes",simon.foulkes@potterraper.co.uk,"Duncan House, Burnhill Road",,"Beckenham, Kent","BR3 3LA",England,"'+44 2086583538",www.potterraper.co.uk,,"https://www.mytenders.co.uk/search/show/search_view.aspx?ID=SEP168738 ",,31/03/2025,31/07/2026,28/10/2024,NO,,No,No,No,Works,0,,,,,,,,"Restricted ",,17:00
tender_457211/1388204,Contract,"Ministry of Defence",Open,2024-09-24T15:47:45+01:00,"Records Office Extension British Gurkhas Nepal (BGN)","This contract will be for the design and delivery of an extension on the current records office in British Gurkha Pokhara along with the installation of a fire suppression system throughout the building. 

To access and submit an ITT response, please login or register on the Defence Sourcing Portal, and then search for the project - DIO(N)CON/24/007 Records Office Extension British Gurkhas Nepal (BGN).

https://contracts.mod.uk/esop/guest/go/public/registration",,,"Any region","45210000 ",,diocomrcl-batuk@mod.gov.uk,"Kentigern House",,Glasgow,"G2 8EX",Scotland,,,,,,02/12/2024,03/03/2025,05/11/2024,NO,,Yes,No,No,Works,80000,,,,,,,,"OpenNonOJEU ",,07:15
tender_459958/1404422,Contract,"Ministry of Defence",Open,2024-09-13T15:43:16+01:00,"Nuclear Deterrence Fund","The UK's independent nuclear deterrent has existed for over 60 years to deter the most extreme threats to our national security and way of life, and that of our NATO Allies.  UK nuclear policymakers will be confronted with an array of challenges in the coming decades, including from major nuclear armed states, emerging nuclear states and state-sponsored nuclear terrorism. The complexity and breadth of these challenges requires the UK to consider how to adapt its approach to deterrence across the spectrum of conflict, including nuclear and strategic deterrence. This, in turn, requires an intellectual capability that can assist UK policymakers in understanding the new security dynamic and its implications for future deterrence requirements.  

The MoD is committed to not only developing this expertise within Government, but through a thriving and robust civil society which can provide valuable research and challenge to Government on these issues. The Nuclear Deterrence Fund is a £3.3m pilot programme which will run between FY24-27 to stimulate wider UK expertise in nuclear deterrence issues and to generate a research base to support nuclear deterrence policymaking. The Fund seeks to support the following objectives: 

i.	Promote innovative, high quality and impactful research in nuclear deterrence aligned with HMG priorities. 
ii.	Improve and sustain the generation and use of evidence to address UK nuclear deterrence policy challenges and effectively embed research within deterrence
iii. Support institutions to attract, develop, and retain early- and mid-career researchers within the UK.
iv. Support the formation of a more equal, diverse and inclusive nuclear deterrence research workforce.
v. Establish enduring and sustainable structures of engagement and knowledge exchange between nuclear deterrence researchers and policymakers. 

The Fund will open for proposals between October 2024 and January 2027. A Programme Board comprised of x-HMG officials will review project proposals monthly in FY24/25. The frequency of future Board meetings will be published in due course. Funding decisions will be communicated within four weeks of each Board meeting.

In order to submit proposals to the Nuclear Deterrence Fund, suppliers must register for the Nuclear Deterrence Fund PQQ on the Defence Sourcing Portal (DSP). Once the necessary due diligence checks have been completed, suppliers will be onboarded onto a Dynamic Purchasing System (DPS) which will provide the overarching contractual terms. Suppliers will have the opportunity to onboard onto the DPS at any time between September 2024 and January 2027. Once on the DPS, suppliers can submit research project proposals for consideration. The detail of any funding agreements for successful bids will be covered by a supplementary project tasking form.",,"SW1A 2HB",London,"73410000 ",,Stephanie.Rutterford100@mod.gov.uk,"MoD Abbey Wood",,Bristol,"BS34 8JH",England,,,"20240729 - Statement of Requirement.docx Annex A - Research Objectives and Areas of Interest.docx Annex B - Guidance Assessment Criteria.docx Annex C - Project Proposal Form.docx Annex D - Project Budget Form.xlsx ","https://contracts.mod.uk/esop/ogc-host/public/mod/web/user-guide.html ",,01/11/2024,31/03/2027,04/10/2024,YES,tender_459958/1395339,Yes,No,No,Services,3300000,,,,,,,,"Other Dynamic Purchasing System Framework",,23:59
tender_371613/1377992,PreProcurement,"Ministry of Defence",Open,2024-08-23T10:16:48+01:00,"Land Integrated Operating Service (LIOS) PIN 3","The LIOS programme delivers the most radical transformation in two decades by introducing the opportunity for a different model for through-life support arrangements. It will support the acceleration and modernisation of the Army to become more agile, more integrated, and more expeditionary in line with Defence and Security Industrial Strategy and Land Industrial Strategy.

Specifically targeting the MoD&apos;s support contracts, it broadly seeks better equipment availability and readiness (upkeep), maintained, or improved technical performance through life (regular updates), and a more routine and deliverable programme of capability upgrades.  

Following the LIOS market engagement conducted under the PINs published in December 2021 and May 2023, LIOS is now commencing a third round of market engagement which shall focus on discussing and testing the 'LIOS Concept'. It is envisaged that this engagement will begin in October 2024.

For full information regarding this PIN please see attachment",,"BS34 8JH","South West","35400000 50100000 50630000 71330000 ","Simon Kraeter",DESLEVS-Futures@mod.gov.uk,"DE&S, Ministry of Defence, Abbey Wood",,Bristol,"BS34 8JH",England,,,"20240823-LIOS_PIN_Phase 3 Event_V2-O.pdf ",,,01/01/1,01/01/1,04/10/2024,NO,,Yes,No,No,,,,,,,,,," ",
tender_380533/1239156,Pipeline,"Leidos Supply",Open,2024-09-19T17:09:56+01:00,"The Supply of Batteries","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The General Supplies Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Batteries on behalf of the UK MOD, consisting of five (5) Lot(s), which includes, but is not limited to; General, Coin and Button, Vehicle Batteries, Vehicle Batteries Lead Acid, NiCd and NiMH.

Please note Defstan 61-021 has been removed from this requirement.

The framework length should not exceed 4 years, and is anticipated to commence in mid 2025. 

The value of this framework is estimated to be between £33,200,000 - £83,000,000.

If interested, Suppliers must/may respond to this PIN [with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",,,"Any region","31440000 ","Tim Light",Tim.Light@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its supply and delivery of Batteries.",26/05/2025,25/05/2029,01/01/1,NO,,Yes,No,No,,33200000,83000000,,,,,,," ",
